Common_Point_ID,Patch_ID,Dataset_Index,Patch_Row,Patch_Col,Scan_Start,Scan_End,Pixel_Start,Pixel_End,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,Latitude,Longitude_360,OHRC_lat,OHRC_lon,IIRS_lat,IIRS_lon,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score,ThreeSensor_Common
CP_000797,9124,9124,109,77,5232,5279,3696,3743,5073,233,244,60.70614821118971,355.44545481747815,60.70614783949999,355.44450268695,60.70558216394218,355.44700702915645,60.706715,355.44485,0.0025674342686385914,0.000667225883384747,0.0024320452459852936,0.0025674342686385914,0.8970732541669096,True
CP_000798,11936,11931,143,67,6864,6911,3216,3263,9589,333,214,60.43798168989314,355.27132209198993,60.438218147,355.26988213874995,60.43851302497434,355.2720504458135,60.437214,355.27203,0.0021882661039039934,0.0023743831786775848,0.0012992353027471352,0.0023743831786775848,0.8970466529499213,True
CP_000799,14427,14420,173,68,8304,8351,3264,3311,13601,421,217,60.20188913313535,355.28775782948713,60.2020753525,355.28714544375,60.20269483010917,355.28706554471137,60.200897,355.28906,0.0006246089693834489,0.0022501351961014067,0.0026868650962319474,0.0026868650962319474,0.8968940705256406,True
CP_000800,13269,13263,159,72,7632,7679,3456,3503,11768,380,229,60.31163642911063,355.3575787247233,60.3124137988775,355.356234439175,60.3111170094505,355.3586526139011,60.31138,355.35785,0.0027439445737491735,0.0019180940903302122,0.0008449656909008149,0.0027439445737491735,0.8968631383908828,True
CP_000801,6463,6463,77,72,3696,3743,3456,3503,777,139,229,60.95808829038729,355.3589463396343,60.9579605085,355.35771933955,60.95750690782789,355.3601719254468,60.958797,355.35895,0.0024941794544665963,0.0014864323047618384,0.001778793842939271,0.0024941794544665963,0.8968301867920712,True
CP_000802,8787,8787,105,72,5040,5087,3456,3503,4515,221,229,60.737897067253165,355.3572752783395,60.7375384039825,355.357210833325,60.737635036546536,355.3560334587247,60.738518,355.35858,0.0011813334845860337,0.0016846321695447542,0.0026966527737828394,0.0026966527737828394,0.8967591099787943,True
CP_000803,9454,9454,113,75,5424,5471,3600,3647,5606,245,238,60.67427818083879,355.40908879222707,60.674622881,355.40944052912494,60.67390669935816,355.4075780448219,60.674305,355.41025,0.0019954357727563826,0.0008676191966899035,0.0026993000146659733,0.0026993000146659733,0.8967293125152721,True
CP_000804,8460,8460,101,77,4848,4895,3696,3743,3991,210,244,60.76893423276595,355.44411600206104,60.769132150442495,355.4448180347749,60.76917308081434,355.4424921296112,60.768497,355.44504,0.0023262652742118014,0.0006716681822234917,0.0026338383593190007,0.0026338383593190007,0.8966798728115839,True
CP_000805,13597,13591,163,68,7824,7871,3264,3311,12295,391,217,60.28060264855184,355.28837050572355,60.2808019115625,355.287165259375,60.279515708165285,355.28882272263934,60.28149,355.28912,0.0020979760846185575,0.0020757548924879854,0.0019973991784600657,0.0020979760846185575,0.8966361719976854,True
CP_000806,12439,12434,149,72,7152,7199,3456,3503,10416,350,229,60.39123801282076,355.35667756074,60.391140493,355.356415856175,60.39059814263024,355.3556151170606,60.391975,355.358,0.0009671230805127363,0.0017922063387615166,0.002755479390964153,0.002755479390964153,0.896621397484968,True
