Common_Point_ID,OHRC_tile_id,Common_Latitude,Common_Longitude,Consistency_Score
CP_000992,4670,60.730045820747705,355.46133246612663,0.8789651014547335
CP_000993,3714,60.78482039341987,355.40925651497605,0.8787383758139888
CP_000994,11462,60.32850355058783,355.4080913722985,0.878718188235502
CP_000995,10531,60.383137447768014,355.2530094716124,0.8787172500249381
CP_000996,8775,60.48571285903132,355.2543110465165,0.878651084778999
CP_000997,9183,60.461863289657,355.2703093871021,0.8786102484518262
CP_000998,12150,60.28848390251303,355.2370335867372,0.878588572134287
CP_000999,5853,60.65821035927897,355.2876809465042,0.8785651812682573
CP_001000,9872,60.42216107754649,355.339287179555,0.8785163362130105
CP_001001,7433,60.564496127618895,355.30510939456275,0.8781877346910838
CP_001002,12423,60.27259302662171,355.25318578939624,0.8781159636883056
CP_001003,7166,60.580435154763926,355.32233064616895,0.8781096933890751
CP_001004,2537,60.8555290840265,355.3760631479968,0.8779856439603543
CP_001005,2250,60.87134288391781,355.28876421848605,0.8778813062732056
CP_001006,10541,60.38321123086052,355.30471304683374,0.8777932938801477
CP_001007,31,61.00417418740194,355.46362301697286,0.8766865431723094
CP_001008,3035,60.824598437166145,355.39196497826725,0.876446550343116
CP_001009,13489,60.21000712578319,355.40756269708913,0.8761315544229697
CP_001010,11195,60.34444300273932,355.42526324763185,0.8758382191973376
CP_001011,1320,60.92627348655341,355.3748367884614,0.8756563929963225
CP_001012,6542,60.61939579664311,355.35698868087457,0.8755346920299558
CP_001013,13499,60.210063980337935,355.45905364212496,0.8754115910790059
CP_001014,13479,60.209943552228445,355.35607395529496,0.875188640882524
CP_001015,10551,60.383278607891334,355.3564187737217,0.8750830172914555
CP_001016,7700,60.54855171121384,355.28789779421095,0.8750726973121826
CP_001017,908,60.950115976277026,355.3400534879347,0.8750228306115604
CP_001018,4238,60.753775094816795,355.3224046138186,0.8749610479848077
CP_001019,11210,60.34336257239877,355.2702149233957,0.8749425061322965
CP_001020,11220,60.34343362879162,355.32186800608446,0.8745523733993096
CP_001021,2623,60.84843601394136,355.35728669056624,0.8744983994266291
CP_001022,8247,60.51765687948241,355.32210641444976,0.8744690646243521
