Judge_Point_ID,Common_Point_ID,Patch_ID,OHRC_tile_id,IIRS_row,IIRS_col,Common_Latitude,Common_Longitude,OHRC_distance_deg,IIRS_distance_deg,OHRC_IIRS_distance_deg,Max_Sensor_Separation_deg,Consistency_Score
JUDGE_0050,CP_000064,14270,13361,415,244,60.218004199223856,355.4427327908216,0.0005150875446352954,0.0013516573711322326,0.0009140074245171677,0.0013516573711322326,0.9483448786072884
JUDGE_0051,CP_000066,11034,8139,301,247,60.524873135886004,355.4612914434411,0.00043563158978838834,0.0011016637337483463,0.0013044221555189733,0.0013044221555189733,0.9481732545678164
JUDGE_0052,CP_000067,10285,6916,274,241,60.5964773227386,355.426783588806,0.0011189002084861883,0.000938382293604239,0.0009896667213618374,0.0011189002084861883,0.9479268821007694
JUDGE_0053,CP_000068,8624,4255,216,238,60.75297689326951,355.4099531993059,6.157326231487398e-05,0.0013373213219975099,0.001386473661137384,0.001386473661137384,0.9478519761676607
JUDGE_0054,CP_000070,6966,1604,157,244,60.91042546760554,355.4453503255613,0.00134440608504196,8.235783067640248e-05,0.0013748330492971011,0.0013748330492971011,0.9477946248210929
JUDGE_0055,CP_000071,10202,6781,271,241,60.60443277706103,355.4270511291656,0.001339581808397904,0.001054269327558088,0.00045272493569738887,0.001339581808397904,0.9476730264993589
JUDGE_0056,CP_000073,10450,7183,280,238,60.5805389466362,355.40951381226023,0.001083618169543067,0.0009528978785298508,0.0010907968760664024,0.0010907968760664024,0.9472736274974284
JUDGE_0057,CP_000074,10037,6514,265,244,60.62037042453377,355.44433426926906,0.0012914731590538055,0.0013079729282213907,0.0003218540399538786,0.0013079729282213907,0.9471340868068692
JUDGE_0058,CP_000075,7630,2640,180,244,60.848526335499905,355.44504626513555,0.0009705407074617025,0.001243793601610634,0.0007788696273592472,0.001243793601610634,0.9470375307744723
JUDGE_0059,CP_000077,9786,6147,257,238,60.64243715142666,355.4097844033538,0.0011537824636318318,0.0013768724980306895,0.00033921653664343535,0.0013768724980306895,0.946915700045792
JUDGE_0060,CP_000079,7709,2762,183,232,60.840495247481776,355.3756364593194,0.001316100345755902,0.001334207465052542,0.0002992216566998787,0.001334207465052542,0.9464532883429891
JUDGE_0061,CP_000081,9125,5076,233,247,60.70616540142752,355.4622518221934,0.0009151651101474992,0.0006549944380769801,0.001364938543972932,0.001364938543972932,0.9462495420478707
JUDGE_0062,CP_000083,11444,8798,315,232,60.48587872465805,355.3746870959679,0.0007471675951692386,0.001438492193263295,0.0006942345097460077,0.001438492193263295,0.9460201688569772
JUDGE_0063,CP_000086,7048,1736,160,241,60.902446957718446,355.42819824709863,0.0014403650495228557,0.0002828655304870739,0.0011696302893927006,0.0014403650495228557,0.9458346760134315
JUDGE_0064,CP_000088,9202,5191,236,229,60.6980961146292,355.3577624325019,0.0006040529525192463,0.00140441501109123,0.0009297286474960419,0.00140441501109123,0.9457173547225282
JUDGE_0065,CP_000089,11946,9622,333,244,60.4381979395474,355.44334215966063,0.0006468376225874084,0.0009713282808533716,0.0013643361351227434,0.0013643361351227434,0.9456645228289217
JUDGE_0066,CP_000090,11527,8933,318,232,60.477916354145236,355.3744254460696,0.00020681431173906223,0.0013844758472429598,0.001371555060984263,0.0013844758472429598,0.9456584866598845
JUDGE_0067,CP_000091,7792,2897,186,232,60.83253790379689,355.3753770865026,0.0009315920845391476,0.0012298974476330428,0.0009606351720310843,0.0012298974476330428,0.9455997231020461
JUDGE_0068,CP_000092,6715,1192,148,238,60.934267622023185,355.41061848220716,0.0009003067493399763,0.0006451135642882122,0.0014146755194937323,0.0014146755194937323,0.9453153580923044
JUDGE_0069,CP_000093,8709,4397,219,244,60.745051004099,355.44505873036655,0.0008124640263612654,0.001221322183649479,0.0011286400659728374,0.001221322183649479,0.9452031442545867
